epochs,train_loss,valid_loss,mAP
0,0.16470712423324585,0.16411550343036652,0.646339207422134
1,0.15045852959156036,0.14619992673397064,0.6981943558891134
2,0.13141211867332458,0.11817057430744171,0.7807998392823954
3,0.1232273206114769,0.11260885745286942,0.7907645532309268
4,0.11112191528081894,0.11157278716564178,0.794468419080747
5,0.10648172348737717,0.10351011157035828,0.7924705090393404
6,0.11414555460214615,0.1155097484588623,0.77468356779871
7,0.101408451795578,0.09799502789974213,0.8105992027714749
8,0.084673672914505,0.08864259719848633,0.819362033668947
9,0.08035155385732651,0.08758511394262314,0.8306832914028127
10,0.08293070644140244,0.08167143911123276,0.8505218086864135
11,0.07678557187318802,0.08144520223140717,0.8466920050564275
12,0.07727774232625961,0.0803789496421814,0.8434385159327302
13,0.07725658267736435,0.07359230518341064,0.8620645990762204
14,0.068557970225811,0.07078564167022705,0.8570594452974424
15,0.06753398478031158,0.06915656477212906,0.8756276543819527
16,0.07651039958000183,0.06951415538787842,0.8750902595785988
17,0.06693684309720993,0.06762188673019409,0.8761540810774893
18,0.06887883692979813,0.066383957862854,0.8779550592392035
19,0.06594391912221909,0.06665683537721634,0.8779908835724158
